x,y,dx,dy,distance,velocity,hold_time,flight_time,user_id,label,session
1213.0,41.0,-4.0,16.0,16.492422502470642,2056.7195218880115,0.0,0.0,1,1,session_20260913_152555.csv
1210.0,52.0,-3.0,11.0,11.40175425099138,1437.1838367821483,0.0,0.0,1,1,session_20260913_152555.csv
1207.0,64.0,-3.0,12.0,12.36931687685298,1515.179195069544,0.0,0.0,1,1,session_20260913_152555.csv
1202.0,76.0,-5.0,12.0,13.0,1658.1844156369868,0.0,0.0,1,1,session_20260913_152555.csv
1187.0,95.0,-15.0,19.0,24.20743687382041,2978.533691830524,0.0,0.0,1,1,session_20260913_152555.csv
1170.0,122.0,-17.0,27.0,31.906112267087632,4001.669626673344,0.0,0.0,1,1,session_20260913_152555.csv
1147.0,153.0,-23.0,31.0,38.60051813123757,4804.645025076733,0.0,0.0,1,1,session_20260913_152555.csv
1127.0,176.0,-20.0,23.0,30.479501308256346,3876.861993658852,0.0,0.0,1,1,session_20260913_152555.csv
1098.0,200.0,-29.0,24.0,37.64306044943742,4617.307417251571,0.0,0.0,1,1,session_20260913_152555.csv
1076.0,220.0,-22.0,20.0,29.73213749463701,3753.9629673484696,0.0,0.0,1,1,session_20260913_152555.csv
1056.0,232.0,-20.0,12.0,23.323807579381203,2930.4210951058826,0.0,0.0,1,1,session_20260913_152555.csv
1044.0,243.0,-12.0,11.0,16.278820596099706,2044.8467630814275,0.0,0.0,1,1,session_20260913_152555.csv
1031.0,251.0,-13.0,8.0,15.264337522473747,1900.7007337265563,0.0,0.0,1,1,session_20260913_152555.csv
1024.0,258.0,-7.0,7.0,9.899494936611664,1231.0048666132818,0.0,0.0,1,1,session_20260913_152555.csv
1021.0,261.0,-3.0,3.0,4.242640687119285,532.8678691281274,0.0,0.0,1,1,session_20260913_152555.csv
1018.0,264.0,-3.0,3.0,4.242640687119285,531.0071199741974,0.0,0.0,1,1,session_20260913_152555.csv
